
Append with new capture

001 survey.b  006289  24  XI  21 113404.0 00000000
002 survey.b  008731  25  XI  21 114751.1 0000F5AA


/Gem Systems GSM-19TW 9113462 v7.0 3 II 2017 M t-ew3.v7                           
/ID 1 file 02survey.b   25 XI 21
/datum  00000.00
/
/time nT sq 
120347.0  29872.31 96 
120348.0  29854.15 96 
120349.0  29879.64 94 
120350.0  29857.81 95 
120351.0  29853.18 94 
120352.0  29853.24 94 
120353.0  29852.80 95 
120354.0  29838.27 95 
120355.0  29836.24 94 
120356.0  29870.10 95 
120357.0  29878.00 96 
120358.0  29878.06 95 
120359.0  29884.45 94 
120400.0  29788.89 96 
120401.0  29894.53 95 
120402.0  29825.70 86 
120403.0  29912.19 56 
120404.0  29829.29 95 
120405.0  29873.99 94 
120406.0  29822.31 94 
120407.0  29859.25 94 
120408.0  29788.36 54 
120409.0  29827.72 96 
120410.0  29850.16 94 
120411.0  29913.99 95 
120412.0  29872.10 65 
120413.0  29917.93 95 
120414.0  29866.66 94 
120415.0  29888.68 95 
120416.0  29874.77 95 
120417.0  29859.23 94 
120418.0  29872.65 95 
120419.0  29868.61 94 
120420.0  29826.39 94 
120421.0  27319.03 03 
120422.0  29902.48 96 
120423.0  28072.03 24 
120424.0  29882.73 95 
120425.0  28769.44 25 
120426.0  25105.10 04 
120427.0  29587.98 35 
120428.0  00000.00 05 
120429.0  00000.00 04 
120430.0  29845.44 95 
120431.0  29875.61 95 
120432.0  29846.07 95 
120433.0  30887.45 05 
120434.0  29870.00 95 
120435.0  30700.41 24 
120436.0  29868.83 95 
120437.0  30309.98 34 
120438.0  29851.36 96 
120439.0  00000.00 04 
120440.0  29826.77 94 
120441.0  29867.57 94 
120442.0  29841.66 95 
120443.0  29858.65 94 
120444.0  29879.52 95 
120445.0  29772.40 56 
120446.0  29906.62 93 
120447.0  29893.52 95 
120448.0  29889.59 95 
120449.0  29795.88 95 
120450.0  29834.15 94 
120451.0  29827.00 95 
120452.0  29904.61 95 
120453.0  29857.72 94 
120454.0  29868.82 96 
120455.0  29891.78 86 
120456.0  29796.72 94 
120457.0  29905.14 95 
120458.0  29926.42 95 
120459.0  29816.75 93 
120500.0  00000.00 95 
120501.0  29851.18 95 
