

/Gem Systems GSM-19TW 9113462 v7.0 11 VI 2009 M t-ew3.v7                           
/ID 1 file 01survey.b   10 II 14
/datum  00000.00
/
/time nT sq 
101852.0  48547.80 99 
101854.0  48547.52 99 
101856.0  48546.98 98 
101858.0  48546.97 99 
101900.0  48552.09 98 
101902.0  48547.11 99 
101904.0  48548.91 99 
101906.0  48549.01 99 
101908.0  48550.87 98 
101910.0  48548.13 99 
101912.0  48550.39 99 
101914.0  48550.92 99 
101916.0  48546.44 99 
101918.0  48549.51 99 
101920.0  48549.27 99 
101922.0  48550.57 98 
101924.0  48549.91 99 
101926.0  48547.24 99 
101928.0  48551.58 98 
101930.0  48550.36 99 
101932.0  48549.48 99 
101934.0  48551.73 98 
101936.0  48552.53 99 
101938.0  48551.46 99 
101940.0  48551.24 99 
101942.0  48551.86 98 
101944.0  48547.31 99 
101946.0  48551.93 98 
101948.0  48550.99 99 
101950.0  48548.04 98 
101952.0  48551.32 98 
101954.0  48548.72 99 
101956.0  48548.75 99 
101958.0  48548.02 98 
102000.0  48549.24 98 
102002.0  48546.78 99 
102004.0  48547.69 98 
102006.0  48550.39 99 
102008.0  48552.01 99 
102010.0  48551.92 99 
102012.0  48548.86 99 
102014.0  48547.85 99 
102016.0  48550.52 98 
102018.0  48551.37 99 
102020.0  48546.55 99 
102022.0  48550.31 98 
102024.0  48546.93 99 
102026.0  48550.92 99 
102028.0  48547.07 99 
102030.0  48546.66 98 
102032.0  48550.76 89 
102034.0  48548.46 99 
102036.0  48545.75 99 
102038.0  48547.98 99 
102040.0  48549.13 99 
102042.0  48547.79 99 
102044.0  48554.56 99 
102046.0  48547.10 99 
102048.0  48549.55 99 
102050.0  48547.77 99 
102052.0  48547.55 99 
102054.0  48547.58 99 
102056.0  48548.77 99 
102058.0  48546.95 99 
102100.0  48549.75 99 
102102.0  48546.96 98 
102104.0  48545.41 99 
102106.0  48550.48 89 
102108.0  48546.53 99 
102110.0  48550.21 98 
102112.0  48547.87 98 
102114.0  48548.87 99 
102116.0  48546.34 99 
102118.0  48549.21 98 
102120.0  48551.02 99 
102122.0  48554.73 98 
102124.0  48548.85 99 
102126.0  48548.99 99 
102128.0  48548.60 99 
102130.0  48552.64 99 
102132.0  48551.07 98 
102134.0  48547.75 99 
102136.0  48548.22 99 
102138.0  48550.62 99 
102140.0  48545.82 98 
102142.0  48552.16 99 
102144.0  48549.80 99 
102146.0  48549.57 99 
102148.0  48548.80 99 
102150.0  48553.55 99 
102152.0  48548.32 99 
102154.0  48554.04 99 
102156.0  48548.83 99 
102158.0  48549.58 98 
102200.0  48553.30 99 
102202.0  48549.70 99 
102204.0  48550.13 99 
102206.0  48547.64 98 
102208.0  48548.74 99 
102210.0  48548.46 99 
102212.0  48546.97 99 
102214.0  48550.05 98 
102216.0  48551.30 99 
102218.0  48547.46 98 
102220.0  48547.86 99 
102222.0  48549.41 98 
102224.0  48552.80 98 
102226.0  48549.87 99 
102228.0  48549.08 98 
102230.0  48551.83 99 
102232.0  48551.49 98 
102234.0  48550.04 99 
102236.0  48552.16 99 
102238.0  48551.47 99 
102240.0  48550.30 99 
102242.0  48551.14 99 
102244.0  48551.58 98 
102246.0  48549.60 99 
102248.0  48549.51 99 
102250.0  48551.06 99 
102252.0  48547.67 99 
102254.0  48547.42 99 
102256.0  48546.51 98 
102258.0  48553.25 99 
102300.0  48548.82 99 
102302.0  48551.04 99 
102304.0  48549.38 99 
102306.0  48550.99 99 
102308.0  48550.82 99 
102310.0  48550.30 99 
102312.0  48549.81 98 
102314.0  48549.05 99 
102316.0  48549.42 99 
102318.0  48550.99 99 
102320.0  48551.44 98 
102322.0  48546.04 99 
102324.0  48544.95 98 
102326.0  48547.27 99 
102328.0  48548.57 98 
102330.0  48545.43 99 
102332.0  48545.05 98 
102334.0  48544.24 98 
102336.0  48545.04 99 
102338.0  48548.64 98 
